2022-12-01/17:56:05		Error occured while validating FileName [Errno 2] No such file or directory: 'Training_Raw_files_validated/Bad_Raw'
2022-12-01/18:08:57		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011983_120233.csv
2022-12-01/18:08:57		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011961_120211.csv
2022-12-01/18:08:57		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011963_120213.csv
2022-12-01/18:08:57		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011976_120226.csv
2022-12-01/18:08:57		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011989_120239.csv
2022-12-01/18:08:57		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011974_120224.csv
2022-12-01/18:08:57		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011960_120210.csv
2022-12-01/18:08:57		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011962_120212.csv
2022-12-01/18:08:57		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011980_120230.csv
2022-12-01/18:08:57		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011972_120222.csv
2022-12-01/18:08:57		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011977_120227.csv
2022-12-01/18:08:57		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011981_120231.csv
2022-12-01/18:08:57		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011968_120218.csv
2022-12-01/18:08:57		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011985_120235.csv
2022-12-01/22:11:38		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011990_120240.csv
2022-12-01/22:11:38		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011970_120220.csv
2022-12-01/22:11:38		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011987_120237.csv
2022-12-01/22:11:38		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011982_120232.csv
2022-12-01/22:11:38		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011978_120228.csv
2022-12-01/22:11:38		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011984_120234.csv
2022-12-01/22:11:38		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011975_120225.csv
2022-12-01/22:11:38		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011971_120221.csv
2022-12-01/22:11:38		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011966_120216.csv
2022-12-01/22:11:38		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011965_120215.csv
2022-12-01/22:11:38		Invalid File Name!! File moved to Bad Raw Folder :: file_seperator.ipynb
2022-12-01/22:11:38		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011986_120236.csv
2022-12-01/22:11:38		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011973_120223.csv
2022-12-01/22:11:38		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011969_120219.csv
2022-12-01/22:11:38		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011988_120238.csv
2022-12-01/22:11:38		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011967_120217.csv
2022-12-01/22:11:38		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011979_120229.csv
2022-12-01/22:11:38		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011964_120214.csv
2022-12-01/22:11:38		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011983_120233.csv
2022-12-01/22:11:38		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011961_120211.csv
2022-12-01/22:11:38		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011963_120213.csv
2022-12-01/22:11:38		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011976_120226.csv
2022-12-01/22:11:38		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011989_120239.csv
2022-12-01/22:11:38		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011974_120224.csv
2022-12-01/22:11:38		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011960_120210.csv
2022-12-01/22:11:38		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011962_120212.csv
2022-12-01/22:11:38		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011980_120230.csv
2022-12-01/22:11:38		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011972_120222.csv
2022-12-01/22:11:38		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011977_120227.csv
2022-12-01/22:11:38		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011981_120231.csv
2022-12-01/22:11:38		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011968_120218.csv
2022-12-01/22:11:38		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011985_120235.csv
2022-12-01/22:15:01		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011990_120240.csv
2022-12-01/22:15:01		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011970_120220.csv
2022-12-01/22:15:01		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011987_120237.csv
2022-12-01/22:15:01		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011982_120232.csv
2022-12-01/22:15:01		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011978_120228.csv
2022-12-01/22:15:01		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011984_120234.csv
2022-12-01/22:15:01		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011975_120225.csv
2022-12-01/22:15:01		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011971_120221.csv
2022-12-01/22:15:01		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011966_120216.csv
2022-12-01/22:15:01		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011965_120215.csv
2022-12-01/22:15:01		Invalid File Name!! File moved to Bad Raw Folder :: file_seperator.ipynb
2022-12-01/22:15:01		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011986_120236.csv
2022-12-01/22:15:01		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011973_120223.csv
2022-12-01/22:15:01		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011969_120219.csv
2022-12-01/22:15:01		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011988_120238.csv
2022-12-01/22:15:01		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011967_120217.csv
2022-12-01/22:15:01		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011979_120229.csv
2022-12-01/22:15:01		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011964_120214.csv
2022-12-01/22:15:01		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011983_120233.csv
2022-12-01/22:15:01		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011961_120211.csv
2022-12-01/22:15:01		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011963_120213.csv
2022-12-01/22:15:01		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011976_120226.csv
2022-12-01/22:15:01		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011989_120239.csv
2022-12-01/22:15:01		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011974_120224.csv
2022-12-01/22:15:01		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011960_120210.csv
2022-12-01/22:15:01		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011962_120212.csv
2022-12-01/22:15:01		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011980_120230.csv
2022-12-01/22:15:01		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011972_120222.csv
2022-12-01/22:15:01		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011977_120227.csv
2022-12-01/22:15:01		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011981_120231.csv
2022-12-01/22:15:01		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011968_120218.csv
2022-12-01/22:15:01		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011985_120235.csv
2022-12-01/22:16:23		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011990_120240.csv
2022-12-01/22:16:23		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011970_120220.csv
2022-12-01/22:16:23		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011987_120237.csv
2022-12-01/22:16:23		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011982_120232.csv
2022-12-01/22:16:23		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011978_120228.csv
2022-12-01/22:16:23		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011984_120234.csv
2022-12-01/22:16:23		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011975_120225.csv
2022-12-01/22:16:23		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011971_120221.csv
2022-12-01/22:16:23		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011966_120216.csv
2022-12-01/22:16:23		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011965_120215.csv
2022-12-01/22:16:23		Invalid File Name!! File moved to Bad Raw Folder :: file_seperator.ipynb
2022-12-01/22:16:23		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011986_120236.csv
2022-12-01/22:16:23		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011973_120223.csv
2022-12-01/22:16:23		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011969_120219.csv
2022-12-01/22:16:23		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011988_120238.csv
2022-12-01/22:16:23		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011967_120217.csv
2022-12-01/22:16:23		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011979_120229.csv
2022-12-01/22:16:23		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011964_120214.csv
2022-12-01/22:16:23		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011983_120233.csv
2022-12-01/22:16:23		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011961_120211.csv
2022-12-01/22:16:23		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011963_120213.csv
2022-12-01/22:16:23		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011976_120226.csv
2022-12-01/22:16:23		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011989_120239.csv
2022-12-01/22:16:23		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011974_120224.csv
2022-12-01/22:16:23		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011960_120210.csv
2022-12-01/22:16:23		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011962_120212.csv
2022-12-01/22:16:23		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011980_120230.csv
2022-12-01/22:16:23		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011972_120222.csv
2022-12-01/22:16:23		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011977_120227.csv
2022-12-01/22:16:23		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011981_120231.csv
2022-12-01/22:16:23		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011968_120218.csv
2022-12-01/22:16:23		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011985_120235.csv
2022-12-01/22:21:23		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011990_120240.csv
2022-12-01/22:21:23		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011970_120220.csv
2022-12-01/22:21:23		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011987_120237.csv
2022-12-01/22:21:23		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011982_120232.csv
2022-12-01/22:21:23		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011978_120228.csv
2022-12-01/22:21:23		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011984_120234.csv
2022-12-01/22:21:23		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011975_120225.csv
2022-12-01/22:21:23		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011971_120221.csv
2022-12-01/22:21:23		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011966_120216.csv
2022-12-01/22:21:23		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011965_120215.csv
2022-12-01/22:21:23		Invalid File Name!! File moved to Bad Raw Folder :: file_seperator.ipynb
2022-12-01/22:21:23		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011986_120236.csv
2022-12-01/22:21:23		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011973_120223.csv
2022-12-01/22:21:23		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011969_120219.csv
2022-12-01/22:21:23		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011988_120238.csv
2022-12-01/22:21:23		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011967_120217.csv
2022-12-01/22:21:23		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011979_120229.csv
2022-12-01/22:21:23		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011964_120214.csv
2022-12-01/22:21:23		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011983_120233.csv
2022-12-01/22:21:23		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011961_120211.csv
2022-12-01/22:21:23		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011963_120213.csv
2022-12-01/22:21:23		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011976_120226.csv
2022-12-01/22:21:23		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011989_120239.csv
2022-12-01/22:21:23		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011974_120224.csv
2022-12-01/22:21:23		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011960_120210.csv
2022-12-01/22:21:23		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011962_120212.csv
2022-12-01/22:21:23		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011980_120230.csv
2022-12-01/22:21:23		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011972_120222.csv
2022-12-01/22:21:23		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011977_120227.csv
2022-12-01/22:21:23		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011981_120231.csv
2022-12-01/22:21:23		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011968_120218.csv
2022-12-01/22:21:23		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011985_120235.csv
2022-12-01/22:56:12		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011990_120240.csv
2022-12-01/22:56:12		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011970_120220.csv
2022-12-01/22:56:12		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011987_120237.csv
2022-12-01/22:56:12		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011982_120232.csv
2022-12-01/22:56:12		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011978_120228.csv
2022-12-01/22:56:12		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011984_120234.csv
2022-12-01/22:56:12		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011975_120225.csv
2022-12-01/22:56:12		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011971_120221.csv
2022-12-01/22:56:12		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011966_120216.csv
2022-12-01/22:56:12		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011965_120215.csv
2022-12-01/22:56:12		Invalid File Name!! File moved to Bad Raw Folder :: file_seperator.ipynb
2022-12-01/22:56:12		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011986_120236.csv
2022-12-01/22:56:12		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011973_120223.csv
2022-12-01/22:56:12		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011969_120219.csv
2022-12-01/22:56:12		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011988_120238.csv
2022-12-01/22:56:12		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011967_120217.csv
2022-12-01/22:56:12		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011979_120229.csv
2022-12-01/22:56:12		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011964_120214.csv
2022-12-01/22:56:12		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011983_120233.csv
2022-12-01/22:56:12		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011961_120211.csv
2022-12-01/22:56:12		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011963_120213.csv
2022-12-01/22:56:12		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011976_120226.csv
2022-12-01/22:56:12		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011989_120239.csv
2022-12-01/22:56:12		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011974_120224.csv
2022-12-01/22:56:12		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011960_120210.csv
2022-12-01/22:56:12		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011962_120212.csv
2022-12-01/22:56:12		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011980_120230.csv
2022-12-01/22:56:12		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011972_120222.csv
2022-12-01/22:56:12		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011977_120227.csv
2022-12-01/22:56:12		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011981_120231.csv
2022-12-01/22:56:12		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011968_120218.csv
2022-12-01/22:56:12		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011985_120235.csv
2022-12-01/22:56:55		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011990_120240.csv
2022-12-01/22:56:55		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011970_120220.csv
2022-12-01/22:56:55		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011987_120237.csv
2022-12-01/22:56:55		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011982_120232.csv
2022-12-01/22:56:55		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011978_120228.csv
2022-12-01/22:56:55		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011984_120234.csv
2022-12-01/22:56:55		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011975_120225.csv
2022-12-01/22:56:55		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011971_120221.csv
2022-12-01/22:56:55		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011966_120216.csv
2022-12-01/22:56:55		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011965_120215.csv
2022-12-01/22:56:55		Invalid File Name!! File moved to Bad Raw Folder :: file_seperator.ipynb
2022-12-01/22:56:55		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011986_120236.csv
2022-12-01/22:56:55		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011973_120223.csv
2022-12-01/22:56:55		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011969_120219.csv
2022-12-01/22:56:55		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011988_120238.csv
2022-12-01/22:56:55		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011967_120217.csv
2022-12-01/22:56:55		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011979_120229.csv
2022-12-01/22:56:55		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011964_120214.csv
2022-12-01/22:56:55		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011983_120233.csv
2022-12-01/22:56:55		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011961_120211.csv
2022-12-01/22:56:55		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011963_120213.csv
2022-12-01/22:56:55		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011976_120226.csv
2022-12-01/22:56:55		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011989_120239.csv
2022-12-01/22:56:55		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011974_120224.csv
2022-12-01/22:56:55		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011960_120210.csv
2022-12-01/22:56:55		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011962_120212.csv
2022-12-01/22:56:55		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011980_120230.csv
2022-12-01/22:56:55		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011972_120222.csv
2022-12-01/22:56:55		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011977_120227.csv
2022-12-01/22:56:55		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011981_120231.csv
2022-12-01/22:56:55		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011968_120218.csv
2022-12-01/22:56:55		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011985_120235.csv
2022-12-01/22:58:29		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011990_120240.csv
2022-12-01/22:58:29		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011970_120220.csv
2022-12-01/22:58:29		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011987_120237.csv
2022-12-01/22:58:29		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011982_120232.csv
2022-12-01/22:58:29		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011978_120228.csv
2022-12-01/22:58:29		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011984_120234.csv
2022-12-01/22:58:29		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011975_120225.csv
2022-12-01/22:58:29		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011971_120221.csv
2022-12-01/22:58:29		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011966_120216.csv
2022-12-01/22:58:29		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011965_120215.csv
2022-12-01/22:58:29		Invalid File Name!! File moved to Bad Raw Folder :: file_seperator.ipynb
2022-12-01/22:58:29		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011986_120236.csv
2022-12-01/22:58:29		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011973_120223.csv
2022-12-01/22:58:29		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011969_120219.csv
2022-12-01/22:58:29		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011988_120238.csv
2022-12-01/22:58:29		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011967_120217.csv
2022-12-01/22:58:29		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011979_120229.csv
2022-12-01/22:58:29		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011964_120214.csv
2022-12-01/22:58:29		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011983_120233.csv
2022-12-01/22:58:29		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011961_120211.csv
2022-12-01/22:58:29		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011963_120213.csv
2022-12-01/22:58:29		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011976_120226.csv
2022-12-01/22:58:29		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011989_120239.csv
2022-12-01/22:58:29		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011974_120224.csv
2022-12-01/22:58:29		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011960_120210.csv
2022-12-01/22:58:29		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011962_120212.csv
2022-12-01/22:58:29		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011980_120230.csv
2022-12-01/22:58:29		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011972_120222.csv
2022-12-01/22:58:29		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011977_120227.csv
2022-12-01/22:58:29		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011981_120231.csv
2022-12-01/22:58:29		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011968_120218.csv
2022-12-01/22:58:29		Valid File name!! File moved to GoodRaw Folder :: creditCardFraud_28011985_120235.csv
